Unnamed: 0,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
2192,mutual-0069-triplet-2,0,What prerequisite does 'sing' have?,fake_sent1,What prerequisite does 'sing' have?,gen,nervous,a whole bunch of other people,no,great voice,1
1124,mutual-0301-triplet-3,0,Where is 'paintings' located?,fake_sent1,Where is 'paintings' located?,gen,paintings,bus,art gallery,wait for him,2
720,dream-0274-triplet-11,0,What desire is caused by 'lost my handbag'?,fake_sent1,What desire is caused by 'lost my handbag'?,gen,report the lost item return the lost item when found,What's in the bag,report the lost item,"give me your name, your address and telephone number",2
3530,dream-0823-triplet-3,0,What happens after 'take the meat out of the fridge'?,fake_sent1,What happens after 'take the meat out of the fridge'?,gen,make dinner,wash the onions,kitchen,meat stuffing,0
1717,daily-dialogue-0444-triplet-1,0,What does 'parking in the red zone' cause?,fake_sent1,What does 'parking in the red zone' cause?,gen,parked,parking ticket,don't understand,got one the other day,1
2556,daily-dialogue-3513-triplet-5,0,What property does 'cereal' have?,fake_sent1,What property does 'cereal' have?,gen,hearty breakfast,oatmeal and toast,not time consuming,unhealthy,3
1366,daily-dialogue-0087-triplet-3,0,What is a synonym of 'crying'?,fake_sent1,What is a synonym of 'crying'?,gen,No problem,get a lump in my throat,blockbuster,going to the movie theater,1
4017,dream-0497-triplet-1,0,What desire is caused by 'lost my coat'?,fake_sent1,What desire is caused by 'lost my coat'?,gen,you can help,Sorry,long white overcoat,have your name and your telephone number,0
2549,daily-dialogue-3511-triplet-5,0,What property does 'green apples' have?,fake_sent1,What property does 'green apples' have?,gen,What kind do,sour,don't like green apples,sweet,1
541,dream-0240-triplet-1,0,What happens after 'borrow your notes'?,fake_sent1,What happens after 'borrow your notes'?,gen,going there anyway,missed any classes,return them tomorrow,notes aren't very good,2
3809,dream-0882-triplet-6,0,What does 'dark the whole time' cause?,fake_sent1,What does 'dark the whole time' cause?,gen,the sun has been down,play with flashlights,wouldn't be able to handle that,not the whole time,1
3028,dream-0315-triplet-3,0,Which goal motivates the act/action 'bring your wife'?,fake_sent1,Which goal motivates the act/action 'bring your wife'?,gen,serve you some more fish,haven't seen her,learn to cook from you,bring your wife,2
3779,dream-0877-triplet-4,0,What is implied by 'door was locked'?,fake_sent1,What is implied by 'door was locked'?,gen,not good enough,want my things back,It can only be one of your staff,the door was locked,2
1109,mutual-0295-triplet-2,0,What does 'talking on your mobile phone' cause?,fake_sent1,What does 'talking on your mobile phone' cause?,gen,did n't see you stop,had the phone up to your ear,do n't know what you 're talking about,terribly sorry,0
2380,mutual-1088-triplet-2,0,What is 'answering phones and typing documents' obstructed by?,fake_sent1,What is 'answering phones and typing documents' obstructed by?,gen,qualified,ad,concentrate in a noisy environment,"hire you , your position will be temporary",2
447,dream-0197-triplet-3,0,Which goal motivates the act/action 'need a summer job'?,fake_sent1,Which goal motivates the act/action 'need a summer job'?,gen,give me some exercise,being a life guard,usually just sit,swim,0
1524,daily-dialogue-0148-triplet-13,0,What is 'pick me up' obstructed by?,fake_sent1,What is 'pick me up' obstructed by?,gen,too late,pick me up after the party,go home,formal,0
2077,mutual-0008-triplet-9,0,What is 'work while in college' obstructed by?,fake_sent1,What is 'work while in college' obstructed by?,gen,what about you,sports,working is totally unnecessary,work,1
3370,dream-0436-triplet-1,0,What is implied by 'got divorced when I had small children'?,fake_sent1,What is implied by 'got divorced when I had small children'?,gen,worse,not like changing a tire,comfort our children,succeed in fixing,0
953,dream-0605-triplet-9,0,Which goal motivates the act/action 'work in the cafe'?,fake_sent1,Which goal motivates the act/action 'work in the cafe'?,gen,pay my tuition,offered in the evening,idea,not so great,0
3113,dream-0348-triplet-2,0,What does 'had the originals' cause?,fake_sent1,What does 'had the originals' cause?,gen,be a wealthy man,loved it for 9 years,gives you much pleasure,Really,0
3866,dream-0458-triplet-5,0,What is implied by 'smell of my garden in the rain'?,fake_sent1,What is implied by 'smell of my garden in the rain'?,gen,smell of air craft fuel,interesting information,different,at home,3
3197,dream-0364-triplet-1,0,What is 'come to dinner' obstructed by?,fake_sent1,What is 'come to dinner' obstructed by?,gen,bring,Saturday,bring yourself,busy,3
994,dream-0606-triplet-26,0,What does 'offto the gym' cause?,fake_sent1,What does 'offto the gym' cause?,gen,I forgot about that,sports,health,offto the gym,2
1994,dream-0056-triplet-7,0,Where is 'post office' located?,fake_sent1,Where is 'post office' located?,gen,Xinhua Road,bye,across the street,map of the city,2
2683,dream-0113-triplet-3,0,What prerequisite does 'pick you up' have?,fake_sent1,What prerequisite does 'pick you up' have?,gen,trouble,no trouble,81881688,call me,3
3504,dream-0817-triplet-6,0,What is 'choose part-time jobs' obstructed by?,fake_sent1,What is 'choose part-time jobs' obstructed by?,gen,interested in having you join us,part-time jobs,-time,will not get any other benefits besides the wages,3
2408,mutual-1123-triplet-1,0,What does 'my parents bought a new flat in town' cause?,fake_sent1,What does 'my parents bought a new flat in town' cause?,gen,went past your house,have n't seen you for ages,lucky you did n't,james,1
567,dream-0243-triplet-6,0,What is 'go to the Children's Center' obstructed by?,fake_sent1,What is 'go to the Children's Center' obstructed by?,gen,asked me to see her nephew,go to the Children's Center,leg was hurt,have a bad cold,0
3950,dream-0491-triplet-2,0,What does 'problems' cause?,fake_sent1,What does 'problems' cause?,gen,don't think we can manage,send someone over,got rid of the old fridge,sorry,3
780,dream-0572-triplet-8,0,What is 'swimming' obstructed by?,fake_sent1,What is 'swimming' obstructed by?,gen,couldn't do any serious studying at the beach,what did you do,invited me for as long as I wanted to stay,water isn't warm enough,3
1395,daily-dialogue-0106-triplet-2,0,What does 'robbed' cause?,fake_sent1,What does 'robbed' cause?,gen,hurt,go to the police station,stole all of my things,mugged me,0
713,dream-0274-triplet-4,0,"Where is 'wallet, two keys, and a letter' located?",fake_sent1,"Where is 'wallet, two keys, and a letter' located?",gen,bag,handbag,fill out this report,wallet,0
